Distance_(µm),Gray_Value
0.0000,509
0.1300,510
0.2600,511
0.3900,512
0.5200,513
0.6500,514
0.7800,515
0.9100,516
1.0400,517
1.1700,518
1.3000,519
1.4300,519
1.5600,520
1.6900,521
1.8200,522
1.9500,522
2.0800,523
2.2100,524
2.3400,525
2.4700,525
2.6000,526
2.7300,527
2.8600,528
2.9900,529
3.1200,530
3.2500,531
3.3800,532
3.5100,533
3.6400,534
3.7700,535
3.9000,537
4.0300,538
4.1600,540
4.2900,542
4.4200,544
4.5500,546
4.6800,548
4.8100,551
4.9400,553
5.0700,556
5.2000,559
5.3300,562
5.4600,565
5.5900,569
5.7200,572
5.8500,576
5.9800,580
6.1100,584
6.2400,589
6.3700,593
6.5000,598
6.6300,603
6.7600,608
6.8900,613
7.0200,618
7.1500,624
7.2800,630
7.4100,636
7.5400,642
7.6700,648
7.8000,655
7.9300,661
8.0600,668
8.1900,675
8.3200,682
8.4500,690
8.5800,697
8.7100,705
8.8400,713
8.9700,721
9.1000,730
9.2300,739
9.3600,747
9.4900,756
9.6200,766
9.7500,775
9.8800,785
10.0100,794
10.1400,804
10.2700,814
10.4000,824
10.5300,835
10.6600,845
10.7900,856
10.9200,867
11.0500,878
11.1800,889
11.3100,900
11.4400,912
11.5700,924
11.7000,936
11.8300,948
11.9600,960
12.0900,973
12.2200,986
12.3500,999
12.4800,1012
12.6100,1026
12.7400,1039
12.8700,1053
13.0000,1067
13.1300,1082
13.2600,1096
13.3900,1111
13.5200,1125
13.6500,1140
13.7800,1155
13.9100,1170
14.0400,1186
14.1700,1201
14.3000,1216
14.4300,1232
14.5600,1247
14.6900,1262
14.8200,1277
14.9500,1292
15.0800,1306
15.2100,1320
15.3400,1333
15.4700,1345
15.6000,1357
15.7300,1368
15.8600,1378
15.9900,1387
16.1200,1395
16.2500,1401
16.3800,1407
16.5100,1411
16.6400,1413
16.7700,1414
16.9000,1414
17.0300,1412
17.1600,1409
17.2900,1404
17.4200,1398
17.5500,1391
17.6800,1382
17.8100,1372
17.9400,1361
18.0700,1349
18.2000,1336
18.3300,1322
18.4600,1308
18.5900,1293
18.7200,1278
18.8500,1263
18.9800,1248
19.1100,1233
19.2400,1219
19.3700,1204
19.5000,1191
19.6300,1178
19.7600,1166
19.8900,1155
20.0200,1144
20.1500,1135
20.2800,1126
20.4100,1118
20.5400,1111
20.6700,1105
20.8000,1100
20.9300,1095
21.0600,1091
21.1900,1088
21.3200,1085
21.4500,1082
21.5800,1080
21.7100,1078
21.8400,1077
21.9700,1075
22.1000,1074
22.2300,1072
22.3600,1071
22.4900,1069
22.6200,1068
22.7500,1066
22.8800,1064
23.0100,1062
23.1400,1060
23.2700,1058
23.4000,1055
23.5300,1052
23.6600,1049
23.7900,1046
23.9200,1043
24.0500,1040
24.1800,1036
24.3100,1033
24.4400,1029
24.5700,1025
24.7000,1022
24.8300,1018
24.9600,1015
25.0900,1011
25.2200,1008
25.3500,1005
25.4800,1002
25.6100,999
25.7400,997
25.8700,995
26.0000,993
26.1300,991
26.2600,990
26.3900,989
26.5200,988
26.6500,988
26.7800,988
26.9100,988
27.0400,988
27.1700,989
27.3000,990
27.4300,991
27.5600,992
27.6900,993
27.8200,995
27.9500,997
28.0800,998
28.2100,1000
28.3400,1002
28.4700,1004
28.6000,1006
28.7300,1007
28.8600,1009
28.9900,1011
29.1200,1013
29.2500,1014
29.3800,1016
29.5100,1017
29.6400,1019
29.7700,1020
29.9000,1021
30.0300,1023
30.1600,1024
30.2900,1025
30.4200,1026
30.5500,1027
30.6800,1028
30.8100,1029
30.9400,1031
31.0700,1032
31.2000,1033
31.3300,1035
31.4600,1036
31.5900,1038
31.7200,1040
31.8500,1042
31.9800,1044
32.1100,1047
32.2400,1049
32.3700,1052
32.5000,1055
32.6300,1058
32.7600,1061
32.8900,1064
33.0200,1068
33.1500,1071
33.2800,1075
33.4100,1079
33.5400,1082
33.6700,1086
33.8000,1090
33.9300,1094
34.0600,1098
34.1900,1102
34.3200,1105
34.4500,1109
34.5800,1113
34.7100,1116
34.8400,1119
34.9700,1123
35.1000,1126
35.2300,1129
35.3600,1132
35.4900,1134
35.6200,1137
35.7500,1139
35.8800,1141
36.0100,1143
36.1400,1145
36.2700,1147
36.4000,1149
36.5300,1151
36.6600,1153
36.7900,1154
36.9200,1156
37.0500,1157
37.1800,1159
37.3100,1160
37.4400,1162
37.5700,1163
37.7000,1165
37.8300,1167
37.9600,1168
38.0900,1170
38.2200,1172
